wetland_ID,wetland_name,site_ID,Latitude,Longitude,property,mean_gap_frac,sd_gap_frac,subshed_area_m2,watershed_area_m2,wetland_storage_volume_m3,wetland_hsc_cm,watershed_hsc_cm,perimeter_m,area_m2,p_a_ratio,hand_m,mean_elevation_m,wet_order,veg_type
255,Baby Doll,BD,39.053,-75.746,Jackson Lane,,,3373,3373,109.8950226,3.258079532,3.258079532,132,379,0.34828496,1.337600152,15.10882406,1,Forested
156,Dank Bay,DB,39.059,-75.758,Jackson Lane,,,2101,2101,340.4901984,16.20610178,16.20610178,110,568.9995,0.193321787,1.026092802,15.97465735,1,Forested
342,Dragon Fly Bay,DF,39.054,-75.835,Baltimore Corner South,,,23907,44516,2825.784585,11.81990457,21.06523785,418,6410.0024,0.065210584,0.448386468,18.30247254,1,Emergent
254,Dark Bay,DK,39.053,-75.745,Jackson Lane,,,8617,16399,344.8940382,4.002483906,4.812247494,168,896.9985,0.187291283,0.412820074,14.18490734,3,Forested
193,Flux Natural,FN,39.058,-75.753,Jackson Lane,1,0,9594,93806,356.0681632,3.711362968,6.08201774,308,1084.9995,0.283871099,1.706199424,16.01796403,4,Emergent
,Flux Natural,FR,39.055,-75.753,Jackson Lane,,,,,,,,,,,,,,Emergent
312,Hummock Bay,HB,39.054,-75.831,Baltimore Corner,,,4431,148941,193.3411261,4.363374545,6.281238909,120,619.999,0.193548699,0.278020314,18.28059187,7,Forested
82,JA,JA,39.065,-75.826,Baltimore Corner North,0.129513333,0.002208129,7301,49373,129.497673,1.773697754,4.529835455,136,703.0004,0.193456504,1.06954287,18.70228845,4,Forested
105,JB,JB,39.064,-75.825,Baltimore Corner North,0.495363333,4.46E-04,10778,42072,1377.478139,12.78046149,5.008124136,270,2666.9985,0.101237402,0.993974837,18.61286559,3,Forested
91,JC,JC,39.065,-75.825,Baltimore Corner North,0.148753333,0.012673651,24136,31294,339.3148167,1.40584528,2.331245117,162,1015.0014,0.159605691,1.149387901,18.75781047,2,Forested
317,Mixing Bay,MB,39.054,-75.832,Baltimore Corner,,,6651,138862,982.0329227,14.76519204,6.387897872,244,1765.999,0.138165424,0.398477155,18.46602986,5,Forested
115,Nate's Bay,NB,39.064,-75.825,Baltimore Corner North,,,5568,9411,158.6739137,2.849747014,4.683074671,112,500.999,0.22355334,1.40686599,19.20824676,2,Forested
236,North Dog Bone,ND,39.054,-75.747,Jackson Lane,0.588526667,0.001053771,3908,3908,972.2024278,24.87723715,24.87723715,174,1364,0.127565982,0.676234693,14.74417176,1,Forested
321,Origin Bay,OB,39.054,-75.834,Baltimore Corner,,,10598,21253,50.2838323,0.474465298,1.78771642,142,421.0014,0.33729104,0.746472642,18.8357326,3,Forested
341,Quintessential Bay,QB,39.055,-75.835,Baltimore Corner South,0.23324,0.005532338,7053,44516,298.4690586,4.2318029,21.06523785,122,777,0.157014157,0.500857404,18.33784879,1,Forested
151,Tiger Paw A,TA,39.059,-75.756,Jackson Lane,0.227383333,0.031786995,6301,6301,849.1320696,13.47614775,13.47614775,170,1287.0014,0.132089988,1.869725654,16.14972672,1,Forested
176,Tiger Paw B,TB,39.058,-75.756,Jackson Lane,0.313336667,0.004198099,7449,7449,904.1412557,12.13775347,12.13775347,212,1907,0.111169376,1.722515968,16.02241649,1,Forested
299,Tree Island,TI,39.055,-75.833,Baltimore Corner South,0.384353333,0.008656843,14490,14490,2020.186361,13.94193486,13.94193486,274,3182.0009,0.086109341,0.355158166,18.13135906,1,Emergent
252,Tree Stand,TS,39.053,-75.746,Jackson Lane,,,4409,7782,334.3714058,7.583837735,5.70889782,136,676.0004,0.201183313,1.033901971,14.79874699,2,Forested
,Gnarly Bay,XB,39.053,-75.832,Baltimore Corner,,,,,,,,,,,,,,Forested
